KataID|Language|KataName|NumPart,icipants|Animal|Path|StartDate|secsInKata|TotalLights|RedLights|GreenLights|AmberLights|ConsecutiveReds|SLOC|testSLOC|productionSLOC|EditedLines|TotalTests|TotalRunTests|RunTestFails|CCNum|BranchCoverage|StatementCoverage|NumCycles|EndsInGreen|LightData|JsonCycles
FF935B4507|C-assert|LCD_Digits|1|buffalo|/home/hugh/cyberdojo/katas/FF/935B4507/buffalo/|2014-05-03 14:21:47 -0700|43.0|2|2|0|0|0|17|0|0|0|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:18.0}~{red:0:0:0:25.0}|[]
FFB133E2F9|Python-unittest|Phone_Numbers|1|moose|/home/hugh/cyberdojo/katas/FF/B133E2F9/moose/|2014-05-21 15:43:01 -0700|124.0|2|2|0|0|0|12|0|0|0|1|0|NA|3|NA|1.0|0|0|~{red:0:0:0:94.0}~{red:0:0:0:30.0}|[]
FFC48F6387|Ruby-TestUnit|100_doors|2|snake|/home/hugh/cyberdojo/katas/FF/C48F6387/snake/|2014-04-27 16:37:06 -0700|37.0|2|2|0|0|0|10|0|0|0|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:8.0}~{red:0:0:0:29.0}|[]
FFE3205C9B|C++-GoogleTest|Print_Diamond|1|alligator|/home/hugh/cyberdojo/katas/FF/E3205C9B/alligator/|2014-08-14 08:21:37 -0700|12.0|2|2|0|0|0|12|0|0|0|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:6.0}~{red:0:0:0:6.0}|[]
FF0DA92C6C|C#-NUnit|ISBN|2|elephant|/home/hugh/cyberdojo/katas/FF/0DA92C6C/elephant/|2014-05-02 08:19:11 -0700|722.0|2|2|0|0|0|19|0|0|0|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:0}~{red:0:0:0:722.0}|[]
FF578BC7FE|C#-NUnit|100_doors|1|hippo|/home/hugh/cyberdojo/katas/FF/578BC7FE/hippo/|2014-04-08 06:07:53 -0700|53.0|3|2|0|1|0|33|0|0|22|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:22.0}~{amber:19:0:19:0}~{red:3:0:3:31.0}|[]
FFFE837CDF|Clojure-.test|100_doors|1|frog|/home/hugh/cyberdojo/katas/FF/FE837CDF/frog/|2014-02-23 17:43:07 -0800|129.0|3|2|1|0|2|8|0|0|4|1|0|NA|NA|NA|NA|1|1|+{red:0:0:0:14.0}+{red:2:2:0:87.0}+{green:2:0:2:28.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":14.0},{"color":"red","totalEdits":2,"testEdits":2,"codeEdits":0,"time":87.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":28.0}],"totalCycleEdits":4,"totalCycleTestEdits":2,"totalCycleCodeEdits":2,"cycleTestChanges":2,"cycleCodeChanges":2,"totalCycleTime":129.0}]
FFCC760136|PHP-PHPUnit|Anagrams|1|hippo|/home/hugh/cyberdojo/katas/FF/CC760136/hippo/|2014-03-03 00:48:42 -0800|95.0|3|1|2|0|0|17|0|0|2|1|0|NA|NA|NA|NA|0|1|~{red:0:0:0:7.0}~{green:2:2:0:75.0}~{green:0:0:0:13.0}|[]
FFE3B66A8F|Ruby-Rspec|Number_Names|1|hippo|/home/hugh/cyberdojo/katas/FF/E3B66A8F/hippo/|2013-10-05 16:13:06 -0700|374.0|4|3|1|0|3|17|0|0|31|1|0|NA|NA|NA|NA|1|1|+{red:0:0:0:15.0}+{red:16:16:0:179.0}+{red:7:0:7:40.0}+{green:8:0:8:140.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":15.0},{"color":"red","totalEdits":16,"testEdits":16,"codeEdits":0,"time":179.0},{"color":"red","totalEdits":7,"testEdits":0,"codeEdits":7,"time":40.0},{"color":"green","totalEdits":8,"testEdits":0,"codeEdits":8,"time":140.0}],"totalCycleEdits":31,"totalCycleTestEdits":16,"totalCycleCodeEdits":15,"cycleTestChanges":16,"cycleCodeChanges":7,"totalCycleTime":374.0}]
FFC91947C6|Java-1.8_JUnit|Recently_Used_List|16|cheetah|/home/hugh/cyberdojo/katas/FF/C91947C6/cheetah/|2013-02-25 13:00:53 -0800|116.0|3|1|1|1|0|15|10|5|4|1|1|1|NA|1.000000|1.000000|0|0|~{red:0:0:0:64.0}~{green:2:2:0:36.0}~{amber:2:2:0:16.0}|[]
